ID,IPA,POS,Alt form,Def,defFr,defDu,defEn,C1 IPA,C2 IPA,C1 Voicing,C2 Voicing,C1 place,C2 place,Homorganic,C1 Manner,C2 Manner,T-D,N-ND,D-ND,KP-K,T-N,T-ND,D-N
2511,gòle̍,(s.),,"achat, vente, prix d’achat. Koop, verkoop, verkoopprijs.",,,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2512,go̍lo̍,(s. r.),,polissonerie. Deugnieterij.,polissonerie,Deugnieterij,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2513,gòlò-,(s.),zu̍ gòlò,",  : genou. Knie.",", zu̍ gòlò : genou",Knie,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2521,gɔfɔ,(v. cfr.),gafa," : pousser un cri de plainte, — d’étonnement , gémir, soupirer. Uitroe- pen van verwondering, van pijn enz., kreunen, klagen.","gafa : pousser un cri de plainte, — d’étonnement , gémir, soupirer","Uitroe- pen van verwondering, van pijn enz",,g,f,voiced,voiceless,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2522,gɔ̀lɔ̀,(s.),,abeille. Bij.,abeille,Bij,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2523,gɔ̀lɔ̀,(s.) ,,: igname. Jamwortel (Dios- corea sp. sp.),,,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2524,gɔ̃́lɔ̃̀,(s. : cfr.),gɛ̃́lɛ̃̀ ,: ombre. Schaduw.,gɛ̃́lɛ̃̀ : ombre,Schaduw,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2525,gɔmɔ,(v.),,"couper (à la hache, à la machette), abattre. Kappen, hakken, houwen.","couper (à la hache, à la machette), abattre","Kappen, hakken, houwen",,g,m,voiced,voiced,dor,lab,non-homorganic,D,N,No,No,No,No,No,No,No
2527,gɔnɔ,(v.),,"trancher—, couper qc. de tendu, tirer en deux ; se rompre —, se détacher (de qc. de tendu). Doortrekken, (iets Spannends) doorkappen, — doorsnijden; door getrokken —, doorgesneden —, uiteengegaan zijn.","trancher—, couper qc","de tendu, tirer en deux ; se rompre —, se détacher (de qc",,g,n,voiced,voiced,dor,cor,non-homorganic,D,N,No,No,No,No,No,No,No
2529,gɔ̀ŋgɔ̀,(s.),,#NAME?,#NAME?,"Viszeef, lange mand met twee gefronste hoeken",,g,ŋg,voiced,voiced,dor,dor,homorganic,D,ND,No,No,Yes,No,No,No,No
2534,gùbà,(s.),,nouveau défrichement d’ancien champ. Herbebouwing van oud veld.,nouveau défrichement d’ancien champ,Herbebouwing van oud veld,,g,b,voiced,voiced,dor,lab,non-homorganic,D,D,No,No,No,No,No,No,No
2536,gùlà,(s.),,"femme de, polygame ; femmes successives (défuntes ou non) d’un même mari ; femmes de frVres ou cousins. Vrouw van veelwijver; achtereenvolgende vrouwen van zelfde man / vrouwen van broers of kozijns (niet veelwijver).","femme de, polygame ; femmes successives (défuntes ou non) d’un même mari ; femmes de frVres ou cousins",Vrouw van veelwijver; achtereenvolgende vrouwen van zelfde man / vrouwen van broers of kozijns (niet veelwijver),,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2537,gúlì,(s.),,relations amicales entre familles apparentées. Vriendschapsbetrekkingen tussen aangetrouwde familie.,relations amicales entre familles apparentées,Vriendschapsbetrekkingen tussen aangetrouwde familie,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2538,gulu,(v.),,"s’incliner, se baisser, éviter en se baissant ; monter au dessus, faire baisser. Neer bukken, zich wegtrekken, ontwijken; hoger staan dan—.","s’incliner, se baisser, éviter en se baissant ; monter au dessus, faire baisser","Neer bukken, zich wegtrekken, ontwijken; hoger staan dan—",,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2539,gùlù,(s.),,"tronc ; origine, cause. Stam; oorsprong, oorzaak.","tronc ; origine, cause","Stam; oorsprong, oorzaak",,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2540,gùlù,(s.),,"boucan, gril en rondins pour boucaner viande et poisson. Rookrooster.","boucan, gril en rondins pour boucaner viande et poisson",Rookrooster,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2541,gùlù,(s.),,mal aux dents. Tandpijn.,mal aux dents,Tandpijn,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2542,gulu,(v.),,"avaler, ingurgiter. Inslikken, zwelgen. .",,,,g,l,voiced,voiced,dor,other,non-homorganic,D,other,No,No,No,No,No,No,No
2546,haka,(v.),,"être étroit, serrer ; être serré. Eng zijn, nauw zijn ; geprangd zijn.","être étroit, serrer ; être serré","Eng zijn, nauw zijn ; geprangd zijn",,h,k,voiceless,voiceless,other,dor,non-homorganic,other,T,No,No,No,No,No,No,No
2547,hala,(v.),,"ramper, se glisser, roder. Kruipen, sluipen, besluipen.","ramper, se glisser, roder","Kruipen, sluipen, besluipen",,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2548,hala,(v. r. cfr.),tɔlɔ, : compter. Tellen.,tɔlɔ : compter,Tellen,,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2549,hana,(v.),,"griller légVrement, torréfier. Bakken, licht roosteren.","griller légVrement, torréfier","Bakken, licht roosteren",,h,n,voiceless,voiced,other,cor,non-homorganic,other,N,No,No,No,No,No,No,No
2550,hana,(v.),,"se gonfler, s'enfler. Zwellen, opgaan, zich opblazen ; opblazen.","se gonfler, s'enfler","Zwellen, opgaan, zich opblazen ; opblazen",,h,n,voiceless,voiced,other,cor,non-homorganic,other,N,No,No,No,No,No,No,No
2551,handa,(v.),,"garder rancune. Wrok toedragen, verbitterd zijn op.",garder rancune,"Wrok toedragen, verbitterd zijn op",,h,nd,voiceless,voiced,other,cor,non-homorganic,other,ND,No,No,No,No,No,No,No
2552,hasã,(v.),,"être léger, être agile. Licht, vlug zijn.","être léger, être agile","Licht, vlug zijn",,h,s,voiceless,voiceless,other,other,homorganic,other,other,No,No,No,No,No,No,No
2558,hɛ̃lɛ̃,(v.),,"hâter, presser de faire. Doen haasten, aandringen.","hâter, presser de faire","Doen haasten, aandringen",,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2559,hɛ̃́lɛ̃́,(s.),,grandes herbes cypéra- cées à tige et feuilles coupantes. Hoog cyperusgras met snijdend blad langs water.,grandes herbes cypéra- cées à tige et feuilles coupantes,Hoog cyperusgras met snijdend blad langs water,,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2560,hɛŋgɛ,(v.),,"fermer au moyen d’un couvercle. Slûiten met deksel, — scheel.",fermer au moyen d’un couvercle,"Slûiten met deksel, — scheel",,h,ŋg,voiceless,voiced,other,dor,non-homorganic,other,ND,No,No,No,No,No,No,No
2562,he’de,(v.),,"se vêtir, porter vêtement. Zich kleden met, kleren dragen.","se vêtir, porter vêtement","Zich kleden met, kleren dragen",,h,d',voiceless,voiced,other,cor,non-homorganic,other,other,No,No,No,No,No,No,No
2566,hili,(v.),,"se dégonfler, se désenfler, diminuer. Ontzwellen, wegtrekken.","se dégonfler, se désenfler, diminuer","Ontzwellen, wegtrekken",,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2567,holo,(v.),,"épuiser des mains, ramasser des deux mains. Met de handen opscheppen, — uitscheppen.","épuiser des mains, ramasser des deux mains","Met de handen opscheppen, — uitscheppen",,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2568,hòlò,(s.),,"trou, ouverture. Gat, hol, hotte.","trou, ouverture","Gat, hol, hotte",,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2571,hɔlɔ,(v.),,"ôter, dépouiller, passer (la main) Sur, masser. Uittrekken, aftrekken, strijken over, masseren.","ôter, dépouiller, passer (la main) Sur, masser","Uittrekken, aftrekken, strijken over, masseren",,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2572,hɔnɔ,(v.),,"briser en frottant, broyer, triturer. Stukwrijven, stukmalen, wrijven al duwend:","briser en frottant, broyer, triturer","Stukwrijven, stukmalen, wrijven al duwend:",,h,n,voiceless,voiced,other,cor,non-homorganic,other,N,No,No,No,No,No,No,No
2574,hɔŋgɔ,(v.),,"ronfler. Ronken, snorken.",ronfler,"Ronken, snorken",,h,ŋg,voiceless,voiced,other,dor,non-homorganic,other,ND,No,No,No,No,No,No,No
2577,hulu,(v.),,"ruisseler, couler, faire eau. Af druppelen, lekken, uitlopen; lek zijn.","ruisseler, couler, faire eau","Af druppelen, lekken, uitlopen; lek zijn",,h,l,voiceless,voiced,other,other,homorganic,other,other,No,No,No,No,No,No,No
2582,hunu,(v.),,remuer (un liquide). Roeren (iets vloeibaars).,remuer (un liquide),Roeren (iets vloeibaars),,h,n,voiceless,voiced,other,cor,non-homorganic,other,N,No,No,No,No,No,No,No
2601,ka̍’bo̍,(s. r.),,"tranche (de poisson, serpent, liane). Stuk (van iets lang, vis, slang, liaan).","tranche (de poisson, serpent, liane)","Stuk (van iets lang, vis, slang, liaan)",,k,b',voiceless,voiced,dor,lab,non-homorganic,T,other,No,No,No,No,No,No,No
2602,kàda̍,(s.),, : lézard agame commun. Gewone ruige boomhagedis (Aga- ma sp.),,,,k,d,voiceless,voiced,dor,cor,non-homorganic,T,D,Yes,No,No,No,No,No,No
2603,ka’da,(v.),,"contracter le dôigt majeur, en attouchant ou non, pour attirer l’attention. Korte beweging maken met middenvinger, H zij met of zonder aanraken.","contracter le dôigt majeur, en attouchant ou non, pour attirer l’attention","Korte beweging maken met middenvinger, H zij met of zonder aanraken",,k,d',voiceless,voiced,dor,cor,non-homorganic,T,other,No,No,No,No,No,No,No
2605,kafa,(v.),,"nier, ne pas avouer. Ontkennen, loochenen.1","nier, ne pas avouer","Ontkennen, loochenen",,k,f,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2606,ka̍fi̍,(s.),,doute. Twijfel.,doute,Twijfel,,k,f,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2608,kàkà,(s.),,ancien couteau Ngbaka à lame et poignée larges. Oud Ngbakames met breed lemmer en brede hecht.,ancien couteau Ngbaka à lame et poignée larges,Oud Ngbakames met breed lemmer en brede hecht,,k,k,voiceless,voiceless,dor,dor,homorganic,T,T,No,No,No,No,No,No,No
2609,kàkà,(s.),,"arriVre grand-pVre, — grand’mVre. Overgrootvader, —■ moeder.","arriVre grand-pVre, — grand’mVre","Overgrootvader, —■ moeder",,k,k,voiceless,voiceless,dor,dor,homorganic,T,T,No,No,No,No,No,No,No
2611,kala,(v.),,"emporter, ramasser, prendre (deux ou plusieurs). Wegnemen, samenpakken, nemen (meer dan een).","emporter, ramasser, prendre (deux ou plusieurs)","Wegnemen, samenpakken, nemen (meer dan een)",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2612,kala,(v.), ’dà kálá ,",: durer. Duren (tijd wordt weggenomen, cfr. vorige : kala, wegnemen).",", ’dà kálá : durer","Duren (tijd wordt weggenomen, cfr",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2613,kala,(v.),,"être emporté, faire défaut (restreint au sens sui- ' vant :). Ontnomen zijn, ont breken, gebrekkig zijn (alleen in volgende betekenis :).","être emporté, faire défaut (restreint au sens sui- ' vant :)","Ontnomen zijn, ont breken, gebrekkig zijn (alleen in volgende betekenis :)",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2615,ka̍la̍-,(s.),,"(ce qui s’enlVve, — se ramasse ; restreint au suivant :). (Wat wordt samengepakt, alleen in volgende:).","(ce qui s’enlVve, — se ramasse ; restreint au suivant :)","(Wat wordt samengepakt, alleen in volgende:)",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2616,ka̍la̍-,(s.),,ce qui se prend ensemble (en sparterie). Wat wordt samengenomen (in vlechtwerk).,ce qui se prend ensemble (en sparterie),Wat wordt samengenomen (in vlechtwerk),,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2617,ka̍la̍,(s.),,crabe. Krab.,crabe,Krab,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2618,kàlà,(s.),,"colline, montagne. Berg, heuvel.","colline, montagne","Berg, heuvel",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2619,kàlà,(s.),,claie de tiges sVches pour barrage. Rieten traliewerk om viswaters af te sluiten.,claie de tiges sVches pour barrage,Rieten traliewerk om viswaters af te sluiten,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2622,ka̍li̍,(s.),,coussinet en cercle d’herbes ou de feuilles pour porter des fardeaux. Bandje uit stroo of bladeren om vrachten op te dragen.,coussinet en cercle d’herbes ou de feuilles pour porter des fardeaux,Bandje uit stroo of bladeren om vrachten op te dragen,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2623,kã́lì,(s.),,charbon de bois. Houtskool (om vuur te maken ).,,,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2625,kama,(v.),,"nourrir, élever. Voede- , ren, opkweken, voeden.","nourrir, élever","Voede- , ren, opkweken, voeden",,k,m,voiceless,voiced,dor,lab,non-homorganic,T,N,No,No,No,No,Yes,No,No
2626,kàmba̍,(s.),,"bande d’étoffe ou d’écorce passée sur l’épaule, pour porter l’enfant. Schoitder- - band waârin het kind wordt gedragen.","bande d’étoffe ou d’écorce passée sur l’épaule, pour porter l’enfant",Schoitder- - band waârin het kind wordt gedragen,,k,mb,voiceless,voiced,dor,lab,non-homorganic,T,ND,No,No,No,No,No,No,No
2628,kana,(v.), kànà mɔ̀,", : jurer à l’occasion de sa propre maladres- ' se. Eigen dwaasheid verwensen.",", kànà mɔ̀ : jurer à l’occasion de sa propre maladres- ' se",Eigen dwaasheid verwensen,,k,n,voiceless,voiced,dor,cor,non-homorganic,T,N,No,No,No,No,Yes,No,No
2632,káŋgé,(s.),,"grand serpent ‘jaune vert, vénimeux. Grote geelgroene giftige slang.","grand serpent ‘jaune vert, vénimeux",Grote geelgroene giftige slang,,k,ŋg,voiceless,voiced,dor,dor,homorganic,T,ND,No,No,No,No,No,No,No
2634,kasa,(v.),,"enrouler ; s’enrouler,, se tordre, être crépu. Krullen omwinden; gekruld,—, omwonden zijn.","enrouler ; s’enrouler,, se tordre, être crépu","Krullen omwinden; gekruld,—, omwonden zijn",,k,s,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2635,kàtà,(s.),,"cal, calleux. Eelt, eeltachtig.","cal, calleux","Eelt, eeltachtig",,k,t,voiceless,voiceless,dor,cor,non-homorganic,T,T,No,No,No,No,No,No,No
2636,kàtò,"(s., cfr.)",ndɔ̀lɔ̀, : stérile. Onvruchtbaar.,ndɔ̀lɔ̀ : stérile,Onvruchtbaar,,k,t,voiceless,voiceless,dor,cor,non-homorganic,T,T,No,No,No,No,No,No,No
2639,kaya,(v. r.),kòlò wéna̍ ,: être très sec ; sécher fort. Kraak- droog zijn; drogen.,= kòlò wéna̍ : être très sec ; sécher fort,Kraak- droog zijn; drogen,,k,y,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2640,kele,(v. cfr.),," fermer, obstruer ; être fermé. Sluiten, afsluiten, wegstoppen ; gesloten zijn.","kpe : fermer, obstruer ; être fermé","Sluiten, afsluiten, wegstoppen ; gesloten zijn",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2641,kèle̍,(s.),,"valve de coquille ; cuiller de coquille, — d'omoplate d’animal, — de tiqis.' Oesterschelp ; lepel uit schelp, been of hout.","valve de coquille ; cuiller de coquille, — d'omoplate d’animal, — de tiqis","' Oesterschelp ; lepel uit schelp, been of hout",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2644,kembe,(v.),,"entourer d’une bordure, enfermer à l’entour . être entouré. Rondom af zetten, afsluiten met scherm; omsloten zijn met scherm.","entourer d’une bordure, enfermer à l’entour",être entouré,,k,mb,voiceless,voiced,dor,lab,non-homorganic,T,ND,No,No,No,No,No,No,No
2645,kèmbé,(s. cfr.),sàŋgì ,": instrument à caisse de résonnance montée de lattes métalliques ou de bambou. Muziekinstrument, klankkast met latjes van metaal of van pdlmbladribben.",sàŋgì : instrument à caisse de résonnance montée de lattes métalliques ou de bambou,"Muziekinstrument, klankkast met latjes van metaal of van pdlmbladribben",,k,mb,voiceless,voiced,dor,lab,non-homorganic,T,ND,No,No,No,No,No,No,No
2646,kénzà,(s.),,jeunes singes en bande conduits par un vieux mâle. Jonge aapjes in benden.,jeunes singes en bande conduits par un vieux mâle,Jonge aapjes in benden,,k,nz,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2647,kèŋgè,(s.),,coin (vu de l’exférieur). Hoek (van buiten).,coin (vu de l’exférieur),Hoek (van buiten),,k,ŋg,voiceless,voiced,dor,dor,homorganic,T,ND,No,No,No,No,No,No,No
2653,kɛ’dɛ,(v.),,"enlever—, puiser ■—-, écumer —■ avec un objet creux, — avec le creux de la main. Afscheppen —, af- schuimen —, wegslaan met een hol woorwerp.","enlever—, puiser ■—-, écumer —■ avec un objet creux, — avec le creux de la main","Afscheppen —, af- schuimen —, wegslaan met een hol woorwerp",,k,d',voiceless,voiced,dor,cor,non-homorganic,T,other,No,No,No,No,No,No,No
2655,kɛ̀fɛ̀,(s.),,beaux-parents. Schoonouders.,beaux-parents,Schoonouders,,k,f,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2656,kɛ̀fɛ̀,(s.),,spatule plat et large. Breed houten schepspaan.,spatule plat et large,Breed houten schepspaan,,k,f,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2657,kɛlɛ,(v.),,"raser, (par extension) couper les cheveux. Scheren; haar afknippen.","raser, (par extension) couper les cheveux",Scheren; haar afknippen,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2658,kɛ̃̀lɛ̃̀,(s.),,chevàlier guignétte * cul- blanc (seulement en saison sèche) . Oeverloperke (Actitis) ; Wit gatje (Tringa euchropus)..,chevàlier guignétte * cul- blanc (seulement en saison sèche),Oeverloperke (Actitis) ; Wit gatje (Tringa euchropus),,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2661,kɛ́nɛ̀-,(s.),(wú)kó ’dà,", =  : femme de, épouse. Vrouw van, huisvrouw.",", = (wú)kó ’dà : femme de, épouse","Vrouw van, huisvrouw",,k,n,voiceless,voiced,dor,cor,non-homorganic,T,N,No,No,No,No,Yes,No,No
2662,kɛ̍nzɛ̍,(s.),,sable. Zand.,sable,Zand,,k,nz,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2663,kɛ̀ŋgɛ̀,(s.),,"coin pour fendre le bois. Wig, spie.",coin pour fendre le bois,"Wig, spie",,k,ŋg,voiceless,voiced,dor,dor,homorganic,T,ND,No,No,No,No,No,No,No
2666,kɛsɛ,(v.),,"découper en petits morceaux (légumes, herbes). In kleine stukken snijden (iets kruidachtigs ).","découper en petits morceaux (légumes, herbes)",In kleine stukken snijden (iets kruidachtigs ),,k,s,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2668,ki̍’di̍,(s.),,femme sans mari de vie légère. Weduwe of vrouw die haar man verliet.,femme sans mari de vie légère,Weduwe of vrouw die haar man verliet,,k,d',voiceless,voiced,dor,cor,non-homorganic,T,other,No,No,No,No,No,No,No
2669,kifi,(v.),,"se transformer. Veranderen in, van gedaante veranderen.",se transformer,"Veranderen in, van gedaante veranderen",,k,f,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2670,kìfí-,(s.),kìfí mɔ̀ ,", : fantôme. Spook> spookbeeld.",", kìfí mɔ̀ : fantôme",Spook> spookbeeld,,k,f,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2673,kìlì,(s.),,"corps, masse, motte, boule ; sphérique. Lichaam, massa, klomp; bolvormig.","corps, masse, motte, boule ; sphérique","Lichaam, massa, klomp; bolvormig",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2674,kílì,(s.),,"peur, terreur. Vrees, angst.","peur, terreur","Vrees, angst",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2676,kìnà,(s.),,: pigeon vert des forêts. Groene bosduif (Vinago sp.),,,,k,n,voiceless,voiced,dor,cor,non-homorganic,T,N,No,No,No,No,Yes,No,No
2677,kìndi̍,(s.),,"colobe argenté, singe à camail de longs poils blancs. Mantelaap (Colobus abyssi- nicus).","colobe argenté, singe à camail de longs poils blancs",Mantelaap (Colobus abyssi- nicus),,k,nd,voiceless,voiced,dor,cor,non-homorganic,T,ND,No,No,No,No,No,No,No
2678,kítò,(s.),,grand arbre à bois brun doré dur. Grote boom met hard geelbruin hout (Sarcoce- phalus).,grand arbre à bois brun doré dur,Grote boom met hard geelbruin hout (Sarcoce- phalus),,k,t,voiceless,voiceless,dor,cor,non-homorganic,T,T,No,No,No,No,No,No,No
2683,kòkò,(s.),,tortue d’eau. Waterschildpad.,tortue d’eau,Waterschildpad,,k,k,voiceless,voiceless,dor,dor,homorganic,T,T,No,No,No,No,No,No,No
2684,kòlè,(s.),,dioscorée à bulbes aériennes. Jamrank met luchtknollen (Dioscorea bulbifera).,dioscorée à bulbes aériennes,Jamrank met luchtknollen (Dioscorea bulbifera),,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2685,kolo,(v.),,"(se) sécher. Drogen, opdrogen, verdrogen.",(se) sécher,"Drogen, opdrogen, verdrogen",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2686,kólò,(s.),,"foudre, (par extension) pluie. Donder ; regen.","foudre, (par extension) pluie",Donder ; regen,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2687,ko̍lo̍-,(s.),,"bord, bordure. Rand, boord.","bord, bordure","Rand, boord",,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2688,kòlò,(s.),"nú kòlò, ú ko̍lo̍ lì ",", ord de niveau d’eau. Boord van waterstand.",", nú kòlò, = nú ko̍lo̍ lì : bord de niveau d’eau",Boord van waterstand,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2689,ko̍lo̍,(s.),,vipère courte et grosse. Dikke korte adderslang.,vipère courte et grosse,Dikke korte adderslang,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2693,kombo,(v.),,faire une ouverture circulaire ; être circu- laire. Rond open maken; rond open zijn,faire une ouverture circulaire ; être circu- laire,Rond open maken; rond open zijn,,k,mb,voiceless,voiced,dor,lab,non-homorganic,T,ND,No,No,No,No,No,No,No
2694,kómbò-,(s.),,", bà kómbò tɛ̀- : jurer son innocence sous imprécations. Zweren om onschuld te getuigen.",", bà kómbò tɛ̀- : jurer son innocence sous imprécations",Zweren om onschuld te getuigen,,k,mb,voiceless,voiced,dor,lab,non-homorganic,T,ND,No,No,No,No,No,No,No
2695,kòmbò,(s.),, : parasolier. Parasol- boom (Musanga sp.),,,,k,mb,voiceless,voiced,dor,lab,non-homorganic,T,ND,No,No,No,No,No,No,No
2697,kòndo̍,(s.),,panache de plumes (coiffant la tête des danseuses de gaza). Pluimbos als hoofdtooisel.,panache de plumes (coiffant la tête des danseuses de gaza),Pluimbos als hoofdtooisel,,k,nd,voiceless,voiced,dor,cor,non-homorganic,T,ND,No,No,No,No,No,No,No
2698,kòŋgò,"(s., cfr.)",ŋgo’be, : milan. Wouw.,ŋgo’be : milan,Wouw,,k,ŋg,voiceless,voiced,dor,dor,homorganic,T,ND,No,No,No,No,No,No,No
2699,kóŋgò,(s.),,houe. Hak.,houe,Hak,,k,ŋg,voiceless,voiced,dor,dor,homorganic,T,ND,No,No,No,No,No,No,No
2701,kósò,(s.),,grains de maïs cuits. Gekookte maïskorrels.,grains de maïs cuits,Gekookte maïskorrels,,k,s,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2702,kòsò,(s.),," : oiseau de grandeur de corbeau à couleurs magnifiques, rouge en dessous des ailes. Vruchtenetende vogel met schitterende kleuren, rood in staart en onder de vleugels (Tauraco sp.)",,,,k,s,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2716,kɔ’bɔ,(v.),,"accrocher; s’accrocher. Haken, aanhaken ; vastgehaakt zijn.",accrocher; s’accrocher,"Haken, aanhaken ; vastgehaakt zijn",,k,b',voiceless,voiced,dor,lab,non-homorganic,T,other,No,No,No,No,No,No,No
2717,kɔ’dɔ,(v.),,"tousser. Hoesten, kuchen.",tousser,"Hoesten, kuchen",,k,d',voiceless,voiced,dor,cor,non-homorganic,T,other,No,No,No,No,No,No,No
2722,kɔ̀la̍,(s.),,poule. Hen.,poule,Hen,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2723,kɔ̍la̍,(s.),,"bois, forêt. Bos.","bois, forêt",Bos,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2724,kɔlɔ,(v.),,s’approcher; être proche. Naderen; nabij zijn aanstaande zijn.,s’approcher; être proche,Naderen; nabij zijn aanstaande zijn,,k,l,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2725,kɔ̀mba̍,(s.),,soufflet. Blaasbalg.,soufflet,Blaasbalg,,k,mb,voiceless,voiced,dor,lab,non-homorganic,T,ND,No,No,No,No,No,No,No
2726,kɔ̀nì,(s.),,maïs. Maïs.,maïs,Maïs,,k,n,voiceless,voiced,dor,cor,non-homorganic,T,N,No,No,No,No,Yes,No,No
2727,kɔ̀nyà,(s.),zɛlɛ kɔnya, : maladie ressemblant au dernier stade de la maladie du sommeil. Ziekte als verouderde slaapziekte.,", zɛlɛ kɔnya : maladie ressemblant au dernier stade de la maladie du sommeil",Ziekte als verouderde slaapziekte,,k,ny,voiceless,voiced,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
2728,kɔ̀ŋgɔ̀,(s.),,case rectangulaire avec toit en deux penchants. Langwerpige hut met tweevlakki'g dak.,,,,k,ŋg,voiceless,voiced,dor,dor,homorganic,T,ND,No,No,No,No,No,No,No
2729,kɔsɔ,(v.),,"contenter avec des promesses, payer de mots. Met beloften paaien, beloven •en niet uitvoeren.","contenter avec des promesses, payer de mots","Met beloften paaien, beloven •en niet uitvoeren",,k,s,voiceless,voiceless,dor,other,non-homorganic,T,other,No,No,No,No,No,No,No
